id,time,activity,appCat.builtin,appCat.communication,appCat.entertainment,appCat.other,appCat.social,call,circumplex.arousal,circumplex.valence,mood,screen,sms
AS14.01,2014-03-14,,,,,,,1.0,,,,,1.0
AS14.02,2014-03-14,,7.521571428571429,16.532758064516127,16.0458,24.787444444444443,5.7262,1.0,,,,21.98856164984508,1.0
AS14.03,2014-03-14,,7.521571428571429,16.532758064516127,16.0458,24.787444444444443,5.7262,1.0,,,,21.98856164984508,1.0
AS14.05,2014-03-14,,15.121823529411769,49.57305681818182,4.144753846153846,44.801875,58.581125,1.0,-1.0,2.0,8.0,63.892159079963534,1.0
AS14.08,2014-03-14,,20.43906896551724,15.31076,4.144753846153846,8.4516,30.768107142857144,1.0,-0.2,1.2,7.4,71.8591915039306,1.0
AS14.12,2014-03-14,,20.43906896551724,15.31076,4.144753846153846,8.4516,30.768107142857144,1.0,-0.2,1.2,7.4,71.8591915039306,1.0
AS14.13,2014-03-14,,19.142244680851064,48.967200000000005,50.052,44.88381481481482,36.115307692307695,1.0,0.2,1.4,7.8,42.396488382372745,1.0
AS14.14,2014-03-14,,19.142244680851064,48.967200000000005,50.052,44.88381481481482,36.115307692307695,1.0,0.2,1.4,7.8,42.396488382372745,1.0
AS14.15,2014-03-14,,22.450083333333332,35.161,50.052,172.527,36.115307692307695,1.0,-0.25,0.5,6.5,81.01533341407777,1.0
AS14.16,2014-03-14,,3.321333333333333,6.877,50.052,29.064,36.115307692307695,1.0,-0.4,0.75,7.4,46.0409998893738,1.0
AS14.17,2014-03-14,,3.321333333333333,6.877,50.052,29.064,36.115307692307695,1.0,1.0,1.0,8.0,46.0409998893738,1.0
AS14.19,2014-03-14,,3.321333333333333,6.877,50.052,29.064,36.115307692307695,1.0,1.0,1.0,8.0,46.0409998893738,1.0
AS14.25,2014-03-14,,3.321333333333333,6.877,,29.064,,1.0,1.0,1.0,8.0,46.0409998893738,1.0
AS14.27,2014-03-14,,3.321333333333333,6.877,,29.064,,1.0,1.0,1.0,8.0,46.0409998893738,1.0
AS14.29,2014-03-14,,3.321333333333333,6.877,,29.064,,1.0,1.0,1.0,8.0,46.0409998893738,1.0
AS14.30,2014-03-14,,,,,,,1.0,1.0,1.0,8.0,,1.0
AS14.31,2014-03-14,,,,,,,1.0,,,,,1.0
AS14.32,2014-03-14,,,,,,,1.0,,,,,1.0
AS14.33,2014-03-14,,,,,,,1.0,,,,,1.0
AS14.01,2014-03-15,,,,,,,1.0,,,,,1.0
AS14.02,2014-03-15,,14.85342944785276,19.45754867256637,35.1694,,,1.0,,,,29.171730775099533,1.0
AS14.03,2014-03-15,,14.85342944785276,19.45754867256637,35.1694,,,1.0,,,,29.171730775099533,1.0
AS14.05,2014-03-15,,34.68734782608696,70.72208888888889,7.207494623655914,17.493100000000002,683.573,1.0,0.0,0.4,6.2,82.44242592652641,1.0
AS14.06,2014-03-15,,34.68734782608696,70.72208888888889,7.207494623655914,17.493100000000002,683.573,1.0,0.0,0.4,6.2,82.44242592652641,1.0
AS14.08,2014-03-15,,6.8456,16.617565217391306,38.795,11.954166666666666,36.3555,1.0,-0.6,0.6,6.4,63.20063159340314,1.0
AS14.12,2014-03-15,,6.8456,16.617565217391306,38.795,11.954166666666666,36.3555,1.0,0.0,-0.5,5.5,63.20063159340314,1.0
AS14.13,2014-03-15,,11.030325581395347,46.92137142857143,51.619230769230775,37.33145161290323,28.2539,1.0,0.2,0.4,7.0,37.98886064427799,1.0
AS14.14,2014-03-15,,11.030325581395347,46.92137142857143,51.619230769230775,37.33145161290323,28.2539,1.0,0.2,0.4,7.0,37.98886064427799,1.0
AS14.15,2014-03-15,,6.738833333333333,41.44833333333333,51.619230769230775,37.33145161290323,28.2539,1.0,0.75,0.5,6.75,55.005666732788086,1.0
AS14.16,2014-03-15,,5.081307692307693,26.660000000000004,65.813,10.025,51.699,1.0,0.4,0.8,6.4,34.712214299610665,1.0
AS14.17,2014-03-15,,5.081307692307693,26.660000000000004,65.813,10.025,51.699,1.0,0.4,0.8,6.4,34.712214299610665,1.0
AS14.19,2014-03-15,,5.081307692307693,26.660000000000004,65.813,10.025,51.699,1.0,0.4,0.8,6.4,34.712214299610665,1.0
AS14.20,2014-03-15,,5.081307692307693,26.660000000000004,65.813,10.025,51.699,1.0,0.4,0.8,6.4,34.712214299610665,1.0
AS14.23,2014-03-15,,5.081307692307693,26.660000000000004,65.813,10.025,51.699,1.0,0.4,0.8,6.4,34.712214299610665,1.0
AS14.25,2014-03-15,,5.081307692307693,26.660000000000004,65.813,10.025,51.699,1.0,0.4,0.8,6.4,34.712214299610665,1.0
AS14.26,2014-03-15,,,,,,,1.0,,,,,1.0
AS14.28,2014-03-15,,,,,,,1.0,,,,,1.0
AS14.29,2014-03-15,,,,,,,1.0,,,,,1.0
AS14.31,2014-03-15,,,,,,,1.0,,,,,1.0
AS14.32,2014-03-15,,,,,,,1.0,,,,,1.0
AS14.33,2014-03-15,,,,,,,1.0,,,,,1.0
AS14.01,2014-03-16,,,,,,,1.0,,,,,1.0
AS14.02,2014-03-16,,7.005979591836735,47.04222388059701,88.392,21.47926315789473,10.681823529411766,1.0,0.0,0.0,6.333333333333333,39.221015996933005,1.0
